session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi
1,5,18.0,recog,iceskate,new,,,2.0,,,113.0,2.0,4.0
1,5,19.0,recog,tuque03a,new,,,2.0,,,119.0,2.0,4.0
1,5,20.0,recog,pouch01b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,125.0,2.0,6.0
1,5,21.0,recog,donut,new,,,2.0,,,133.0,2.0,5.0
1,5,22.0,recog,lightswitch01,new,,,2.0,,,140.0,2.0,4.0
1,5,23.0,recog,dice05a,new,,,2.0,,,146.0,2.0,4.0
1,5,24.0,recog,potatomasher03b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,152.0,2.0,4.0
1,5,25.0,recog,microwave,new,,,2.0,,,158.0,2.0,4.0
1,5,26.0,recog,hose,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,164.0,2.0,4.0
1,5,27.0,recog,peppermill02b,new,,,2.0,,,170.0,2.0,5.0
1,5,28.0,recog,porsche,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,177.0,2.0,4.0
1,5,29.0,recog,jar03,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,183.0,2.0,5.0
1,5,30.0,recog,drumset,new,,,2.0,,,190.0,2.0,4.0
1,5,31.0,recog,clock01a,new,,,2.0,,,196.0,2.0,6.0
1,5,32.0,recog,hammer01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,204.0,2.0,5.0
1,5,33.0,recog,rollerblade,new,,,2.0,,,211.0,2.0,6.0
1,5,34.0,recog,cow,new,,,2.0,,,219.0,2.0,4.0
1,5,35.0,recog,rooster,new,,,2.0,,,225.0,2.0,4.0
1,5,36.0,recog,laptop01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,231.0,2.0,5.0
1,5,37.0,recog,puttyknife,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,238.0,2.0,7.0
1,5,38.0,recog,microscope,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,247.0,2.0,4.0
1,5,39.0,recog,carkey,new,,,2.0,,,253.0,2.0,4.0
1,5,40.0,recog,sturgeon,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,259.0,2.0,5.0
1,5,41.0,recog,toytractor01b,new,,,2.0,,,266.0,2.0,6.0
1,5,42.0,recog,tissuebox01b,new,,,2.0,,,274.0,2.0,6.0
1,5,43.0,recog,pooltable,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,282.0,2.0,6.0
1,5,44.0,recog,megaphone,new,,,2.0,,,290.0,2.0,4.0
1,5,45.0,recog,ladybug03,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,296.0,2.0,4.0
